transaction_id,customer_id,age_group,gender,city,customer_segment,product_id,product_category,original_price,discount_pct,final_price,quantity,purchase_amount,payment_method,purchase_date,purchase_hour,is_weekend,is_black_friday,high_spender
T0085162,C028511,56+,Male,Houston,VIP,P3307,Footwear,169.91,5,161.41,1,161.41,Debit Card,2025-11-25,0,0,0,1
T0021754,C018415,18-25,Male,New York,Loyal,P6143,Electronics,580.07,15,493.06,1,493.06,Debit Card,2025-11-24,23,0,0,1
T0026472,C014084,26-35,Male,Dallas,VIP,P6715,Accessories,84.65,25,63.49,1,63.49,Mobile Wallet,2025-11-27,8,0,0,0
T0064344,C026640,56+,Other,New York,Returning,P6134,Sports,503.6,30,352.52,1,352.52,Credit Card,2025-11-29,8,1,0,1
T0010936,C023722,36-45,Male,Seattle,Returning,P9282,Electronics,1245.93,10,1121.34,1,1121.34,Mobile Wallet,2025-11-27,22,0,0,1
T0057604,C017086,56+,Female,Los Angeles,New,P6309,Beauty,141.78,35,92.16,1,92.16,Debit Card,2025-11-30,8,1,0,0
T0027246,C002202,46-55,Female,Chicago,Loyal,P8888,Footwear,44.83,25,33.62,1,33.62,Debit Card,2025-11-24,18,0,0,0
T0018779,C031378,56+,Other,Chicago,Returning,P7181,Clothing,58.43,10,52.59,1,52.59,Mobile Wallet,2025-11-30,13,1,0,0
T0057486,C000624,46-55,Other,Dallas,New,P1358,Electronics,402.55,15,342.17,1,342.17,PayPal,2025-11-27,20,0,0,1
T0047743,C020108,46-55,Female,Los Angeles,Loyal,P4068,Electronics,771.79,20,617.43,1,617.43,Credit Card,2025-12-01,3,0,0,1
T0011840,C025967,56+,Female,Miami,Returning,P9211,Electronics,1680.06,30,1176.04,3,3528.12,PayPal,2025-11-29,12,1,0,1
T0012354,C021486,18-25,Other,Atlanta,Loyal,P8971,Home & Kitchen,615.88,60,246.35,1,246.35,Debit Card,2025-11-29,9,1,0,1
T0076759,C012112,56+,Other,Dallas,New,P3481,Clothing,177.07,60,70.83,1,70.83,Gift Card,2025-12-01,17,0,0,0
T0008639,C000111,26-35,Other,Los Angeles,Returning,P1807,Toys,24.27,35,15.78,1,15.78,Credit Card,2025-11-25,0,0,0,0
T0092544,C017477,26-35,Other,Miami,Loyal,P2098,Accessories,481.27,35,312.83,2,625.66,Mobile Wallet,2025-11-27,20,0,0,1
T0045276,C012494,56+,Male,Chicago,Returning,P8705,Beauty,141.51,30,99.06,1,99.06,Gift Card,2025-11-25,13,0,0,0
T0004127,C023128,36-45,Other,Seattle,VIP,P9020,Accessories,207.74,50,103.87,2,207.74,PayPal,2025-11-29,22,1,0,1
T0006670,C022762,46-55,Male,Seattle,Returning,P2068,Books,99.56,20,79.65,1,79.65,Debit Card,2025-11-26,16,0,0,0
T0044138,C025367,18-25,Female,Phoenix,New,P8439,Clothing,279.68,40,167.81,2,335.62,PayPal,2025-11-27,19,0,0,1
T0007840,C013132,18-25,Male,Houston,Loyal,P1472,Toys,215.77,30,151.04,1,151.04,Credit Card,2025-12-01,18,0,0,0
T0072313,C013436,56+,Other,New York,New,P1654,Groceries,24.29,25,18.22,1,18.22,Debit Card,2025-11-29,17,1,0,0
T0053029,C002582,46-55,Female,Atlanta,Returning,P4037,Sports,497.58,30,348.31,2,696.62,Credit Card,2025-11-26,22,0,0,1
T0076639,C012091,26-35,Female,Chicago,Loyal,P5069,Sports,305.28,20,244.22,1,244.22,Debit Card,2025-11-29,14,1,0,1
T0078484,C006949,46-55,Male,Dallas,Loyal,P9701,Books,53.8,35,34.97,1,34.97,Mobile Wallet,2025-11-30,7,1,0,0
T0044835,C031660,46-55,Female,Houston,New,P2042,Sports,178.57,20,142.86,1,142.86,Credit Card,2025-11-28,2,0,1,0
T0059808,C000822,36-45,Male,Phoenix,Returning,P2305,Sports,92.62,40,55.57,1,55.57,Cash,2025-11-29,11,1,0,0
T0031959,C005558,36-45,Male,Los Angeles,Loyal,P6882,Clothing,198.96,25,149.22,1,149.22,Credit Card,2025-11-26,12,0,0,0
T0085830,C019227,18-25,Female,Dallas,Returning,P7296,Accessories,176.45,60,70.58,1,70.58,Cash,2025-11-25,23,0,0,0
T0053640,C015069,26-35,Male,San Francisco,Returning,P1916,Clothing,215.29,35,139.94,1,139.94,Gift Card,2025-12-01,8,0,0,0
T0047127,C002771,46-55,Female,Atlanta,Returning,P5351,Home & Kitchen,806.47,20,645.18,1,645.18,PayPal,2025-11-26,2,0,0,1
T0091781,C008825,18-25,Male,San Francisco,Loyal,P9260,Toys,150.36,25,112.77,2,225.54,Debit Card,2025-11-25,2,0,0,1
T0058374,C011879,46-55,Female,Seattle,New,P1727,Footwear,128.39,30,89.87,3,269.61,PayPal,2025-11-28,0,0,1,1
